timestamp,source_ip,destination_ip,protocol,bytes_sent,bytes_received,duration,destination_type,port,file_type,direction,is_malicious
2025-04-22 10:38:45,172.18.4.238,214.194.54.183,TCP,79758,59,99.03,external,25,zip,upload,1
2025-02-14 12:57:50,192.168.90.216,21.112.86.135,TCP,36906,399,146.64,external,22,zip,upload,1
2025-03-29 23:30:07,192.168.168.125,110.20.24.193,ICMP,624,1794,2.76,internal,21,csv,download,0
2025-03-16 07:53:17,7.237.176.169,58.18.31.172,UDP,28036,345,125.42,external,80,zip,upload,1
2025-04-29 03:54:31,192.168.235.191,183.45.140.135,TCP,89648,461,29.31,external,21,zip,upload,1
2025-04-19 22:51:31,209.71.192.176,172.31.174.83,TCP,2589,369,5.09,internal,3306,zip,upload,0
2025-03-18 01:24:14,10.231.236.186,154.218.10.99,UDP,54488,496,174.08,external,8080,zip,upload,1
2025-02-15 06:09:19,23.102.84.125,91.69.155.131,TCP,1083,2731,6.23,internal,8080,pdf,download,0
2025-01-03 22:54:36,172.21.72.169,55.236.95.227,UDP,4137,816,8.03,internal,3306,zip,download,0
2025-02-21 08:38:47,172.23.147.207,91.169.182.120,UDP,11450,95,52.87,external,3306,zip,upload,1
2025-02-10 18:53:28,95.100.13.234,56.64.66.77,ICMP,915,2744,8.31,internal,21,docx,download,0
2025-01-14 04:06:29,192.168.201.120,84.209.111.69,ICMP,71972,72,63.91,external,22,zip,upload,1
2025-03-04 11:43:54,172.16.10.63,104.226.54.89,TCP,1872,1839,7.85,internal,443,csv,upload,0
2025-03-28 05:55:28,10.57.150.167,172.22.155.154,ICMP,1489,2002,4.03,internal,80,xlsx,upload,0
2025-04-12 09:02:12,10.51.214.88,192.168.114.81,TCP,3579,1889,8.71,internal,21,pdf,upload,0
2025-03-11 10:59:40,192.168.55.138,192.168.97.52,ICMP,2637,778,5.67,internal,25,pdf,upload,0
2025-04-11 21:50:17,192.168.134.141,76.9.146.119,UDP,90817,169,128.73,external,8080,zip,upload,1
2025-02-22 08:14:22,10.95.27.107,10.218.12.239,ICMP,2723,1898,7.73,internal,25,zip,upload,0
2025-02-05 17:04:54,37.237.159.7,172.30.220.216,ICMP,3289,1006,4.32,internal,80,csv,download,0
2025-02-24 23:21:51,10.41.18.1,172.28.84.64,TCP,265,2601,2.02,internal,80,csv,upload,0
2025-02-13 03:29:25,10.210.239.42,10.255.36.11,TCP,2767,2849,4.96,internal,80,csv,download,0
2025-03-02 10:23:59,172.26.198.150,197.94.132.121,UDP,61541,294,139.54,external,3306,zip,upload,1
2025-01-02 14:08:42,192.168.114.140,58.108.176.229,ICMP,4111,2531,7.2,internal,25,csv,download,0
2025-03-10 11:20:44,192.168.165.38,173.63.128.244,UDP,17949,326,160.29,external,443,zip,upload,1
2025-01-04 09:34:19,10.27.218.168,172.21.152.70,TCP,891,427,8.15,internal,25,pdf,upload,0
2025-02-17 15:32:59,10.93.85.23,116.192.142.150,ICMP,93976,376,48.77,external,22,zip,upload,1
2025-01-01 04:03:18,192.168.58.109,192.168.117.123,TCP,1092,2192,0.93,internal,22,pdf,download,0
2025-02-25 18:47:28,172.20.5.115,10.101.233.35,TCP,4666,621,4.57,internal,25,exe,download,0
2025-04-22 04:09:06,197.71.9.108,192.168.204.92,UDP,2050,643,3.2,internal,8080,csv,upload,0
2025-02-28 02:07:26,85.77.13.165,221.33.141.135,UDP,38631,30,37.39,external,22,zip,upload,1
2025-01-13 01:06:13,47.139.192.59,207.28.99.64,TCP,2840,676,1.96,internal,80,pdf,upload,0
2025-02-02 06:37:09,110.34.41.234,112.252.76.113,ICMP,98245,305,33.67,external,443,zip,upload,1
2025-01-25 00:00:00,10.69.121.115,211.135.121.161,ICMP,84368,236,24.05,external,3306,zip,upload,1
