src_ip,dest_ip,src_port,dest_port,protocol,duration,packet_count,byte_count,is_malicious
156.211.163.245,55.86.165.226,2242,11457,ICMP,39.95,477,67415,0
46.174.103.229,101.225.114.40,49538,26168,UDP,34.18,131,53689,0
248.248.208.167,25.89.65.113,18513,36890,UDP,8.0,922,23645,1
132.162.242.133,90.150.222.245,52256,27093,UDP,6.2,892,91937,1
246.141.253.168,92.187.229.111,63363,20545,UDP,28.63,215,11739,1
105.175.193.178,22.233.55.124,30003,16452,ICMP,12.03,442,16006,0
115.116.97.174,136.217.17.148,10477,55961,TCP,56.49,494,26265,1
126.225.26.224,72.196.247.30,41207,64755,UDP,53.76,828,74524,0
250.198.69.226,25.207.188.149,34091,53083,TCP,2.71,409,72552,1
66.87.224.255,169.170.151.175,60212,697,TCP,16.26,788,37436,0
83.116.230.210,229.107.241.14,50605,14114,ICMP,18.51,605,17890,1
178.71.24.169,36.250.208.83,36991,31043,ICMP,21.2,693,82288,0
116.218.56.159,231.4.246.119,9369,53870,ICMP,50.53,284,7857,1
252.153.95.150,74.99.57.196,50240,25007,ICMP,42.57,423,39784,0
150.150.27.184,223.40.26.34,24025,40733,UDP,34.86,645,83021,1
166.44.41.95,215.57.136.176,13711,60892,ICMP,57.08,884,86083,1
3.159.47.238,219.121.148.76,38151,64757,ICMP,39.57,866,20899,1
7.238.148.22,129.199.94.167,50431,32843,UDP,19.38,173,33290,1
3.185.161.124,199.37.30.101,23299,682,ICMP,23.77,282,54778,0
74.67.86.33,146.71.67.205,60352,22136,UDP,22.87,595,60024,0
215.251.24.212,30.176.185.43,64184,21877,TCP,39.25,604,80227,1
229.70.174.182,63.53.243.142,37278,39145,TCP,17.81,257,34940,0
184.32.213.169,233.171.31.247,48399,63797,TCP,45.89,570,1844,1
201.254.92.235,151.244.106.145,27605,21380,UDP,51.85,768,25029,1
215.213.21.249,76.153.232.192,45862,6619,TCP,58.13,334,1745,0
63.116.36.167,3.185.130.86,46231,15082,ICMP,42.66,86,52152,0
223.244.115.6,129.2.167.240,25128,24598,TCP,57.52,540,67616,1
