device_id,device_type,file_accessed,action,port_used,manufacturer_id,access_duration_sec,file_size_kb,os_alert_flag,is_encrypted,is_malicious
fea99534,charging_only,docx,write,back_usb,VID_ABCD,3.6,623,0,0,0
5d79f7a9,unknown_device,pdf,encrypt,hub_usb,VID_FAKE,0.36,1183,0,0,0
a6217dea,charging_only,exe,write,type_c_port,VID_EF01,0.1,1638,0,0,0
69b734b1,network_adapter,zip,execute,type_c_port,VID_FAKE,5.56,18903,0,0,1
5e595c7e,unknown_device,py,read,type_c_port,VID_EF01,7.12,442,0,0,0
3efe6c96,keyboard_emulator,docx,scan,front_usb,VID_ABCD,0.43,3812,0,0,0
247311f5,keyboard_emulator,mp3,scan,hub_usb,VID_1234,1.31,1373,0,0,0
2182fff6,unknown_device,sh,execute,front_usb,VID_4321,2.08,2253,0,0,0
131ec6b6,charging_only,dll,execute,hub_usb,VID_1234,2.74,2839,0,0,0
4115085d,mass_storage,sh,write,back_usb,VID_EF01,0.01,2062,0,0,0
55f41ee0,keyboard_emulator,mp3,encrypt,front_usb,VID_FAKE,4.72,41028,1,0,1
f65d1317,charging_only,dll,auto_run,front_usb,VID_ABCD,6.16,4009,1,1,1
06cc9393,keyboard_emulator,dll,encrypt,front_usb,VID_ABCD,16.35,1952,1,0,1
a4742605,network_adapter,sh,write,front_usb,VID_FAKE,2.67,48607,1,0,1
6bb88e7e,keyboard_emulator,exe,write,back_usb,VID_4321,1.81,16698,1,0,1
e0d8fd78,unknown_device,pdf,auto_run,front_usb,VID_FAKE,4.34,3942,0,0,0
17a9b3d1,charging_only,pdf,execute,front_usb,VID_1234,0.1,7368,0,0,1
5097b82e,keyboard_emulator,exe,execute,hub_usb,VID_ABCD,0.61,511,0,0,0
6db36a73,keyboard_emulator,mp3,read,type_c_port,VID_1234,0.11,3143,0,0,0
22200779,unknown_device,exe,write,hub_usb,VID_1234,1.25,2956,0,0,0
1687d86d,unknown_device,jpg,encrypt,hub_usb,VID_EF01,2.53,3915,0,0,0
1c6a8c15,unknown_device,py,write,hub_usb,VID_FAKE,18.52,17209,1,0,1
46991f72,unknown_device,sh,auto_run,hub_usb,VID_EF01,20.95,4981,1,0,1
dbc9fc9e,keyboard_emulator,zip,read,hub_usb,VID_FAKE,0.38,19893,0,0,1
e8c0f549,network_adapter,py,execute,type_c_port,VID_FAKE,2.54,13922,1,0,1
bd28750c,network_adapter,py,execute,back_usb,VID_FAKE,1.87,3553,0,0,0
1408ae8e,keyboard_emulator,docx,encrypt,hub_usb,VID_FAKE,1.44,3036,0,0,0
dcf50e80,keyboard_emulator,py,encrypt,back_usb,VID_1234,2.29,2132,0,0,0
39ee76be,unknown_device,docx,scan,type_c_port,VID_FAKE,2.23,4669,0,0,0
ded3eaad,mass_storage,jpg,auto_run,type_c_port,VID_4321,7.26,3945,0,0,0
7edfb65c,network_adapter,exe,encrypt,back_usb,VID_FAKE,0.91,875,0,0,0
294a32e0,network_adapter,mp3,encrypt,back_usb,VID_4321,2.06,543,0,0,0
210def66,charging_only,exe,scan,front_usb,VID_ABCD,1.79,42244,1,0,1
32938438,unknown_device,zip,encrypt,front_usb,VID_1234,0.08,1505,0,0,0
275887ac,keyboard_emulator,jpg,scan,back_usb,VID_1234,0.16,414,0,0,0
03589fd7,mass_storage,exe,scan,front_usb,VID_ABCD,1.55,4924,0,0,0
6af33b8e,unknown_device,exe,read,type_c_port,VID_ABCD,2.9,1037,0,0,0
9bf00da0,unknown_device,mp3,auto_run,front_usb,VID_4321,0.82,4490,1,0,0
73ff9c6c,charging_only,docx,write,type_c_port,VID_FAKE,0.21,41369,1,0,1
885d3e6d,charging_only,py,auto_run,hub_usb,VID_FAKE,3.85,3911,0,0,0
9b92df1d,unknown_device,docx,read,type_c_port,VID_4321,2.12,1460,0,0,0
4f823ea7,keyboard_emulator,pdf,auto_run,back_usb,VID_4321,0.08,3890,0,0,0
4a3e58ad,unknown_device,exe,auto_run,type_c_port,VID_EF01,0.32,44879,1,0,1
94a101c2,keyboard_emulator,dll,auto_run,back_usb,VID_FAKE,6.92,38028,1,0,1
bc4689ca,network_adapter,mp3,execute,hub_usb,VID_EF01,1.43,41827,0,0,1
303014d6,network_adapter,py,scan,front_usb,VID_4321,6.95,12150,1,0,1
7a03e5b7,unknown_device,exe,read,hub_usb,VID_FAKE,0.13,3987,0,0,0
a1f68b1d,unknown_device,exe,auto_run,type_c_port,VID_4321,2.11,3538,0,0,0
0406f4b4,charging_only,mp3,scan,hub_usb,VID_FAKE,3.59,4444,0,0,0
57ed7024,network_adapter,sh,scan,front_usb,VID_4321,3.61,4750,1,0,0
02e14471,network_adapter,jpg,scan,back_usb,VID_4321,1.3,2237,0,0,0
54f54cc2,network_adapter,bat,encrypt,back_usb,VID_EF01,3.99,4452,0,0,0
a5bb5384,network_adapter,dll,auto_run,hub_usb,VID_EF01,0.82,30103,1,0,1
0dd7d0bc,mass_storage,exe,write,hub_usb,VID_ABCD,1.31,237,0,0,0
aca0246e,network_adapter,dll,execute,front_usb,VID_EF01,4.95,3428,1,0,1
13e0fe80,mass_storage,py,read,front_usb,VID_FAKE,10.55,11591,1,0,1
66633667,network_adapter,dll,execute,front_usb,VID_1234,2.39,20484,1,0,1
103771cd,unknown_device,docx,auto_run,back_usb,VID_EF01,0.45,4959,0,0,0
c7dded04,mass_storage,sh,scan,hub_usb,VID_4321,0.21,3202,0,0,0
aa9523ab,unknown_device,sh,write,hub_usb,VID_1234,4.8,1285,0,0,0
fcb9949e,charging_only,mp3,read,type_c_port,VID_1234,0.52,3053,0,0,0
e9323f1c,keyboard_emulator,exe,scan,hub_usb,VID_4321,3.65,4839,0,0,0
3d36aeb4,charging_only,dll,read,back_usb,VID_FAKE,3.16,4954,0,0,0
750142d9,unknown_device,mp3,scan,back_usb,VID_4321,2.49,4346,0,0,0
f064f9ee,keyboard_emulator,bat,auto_run,type_c_port,VID_FAKE,1.68,1108,0,0,0
65d48b49,network_adapter,mp3,encrypt,type_c_port,VID_1234,1.08,4669,0,0,0
1338a19e,keyboard_emulator,py,auto_run,back_usb,VID_EF01,3.24,20591,1,0,1
08933a3f,unknown_device,zip,encrypt,back_usb,VID_EF01,2.51,683,0,0,0
01511635,keyboard_emulator,jpg,execute,front_usb,VID_EF01,2.49,47487,1,0,1
66fe6bf0,unknown_device,dll,auto_run,type_c_port,VID_EF01,9.28,37347,1,0,1
92f60734,unknown_device,docx,auto_run,front_usb,VID_FAKE,0.62,27375,1,0,1
f9940330,keyboard_emulator,pdf,write,hub_usb,VID_FAKE,2.71,563,0,0,0
abf28fa3,keyboard_emulator,exe,auto_run,hub_usb,VID_1234,1.64,4736,0,0,0
f8b0d899,network_adapter,bat,scan,hub_usb,VID_4321,17.07,2612,0,0,1
01b02240,network_adapter,bat,scan,front_usb,VID_ABCD,0.28,25463,1,0,1
eca24a36,charging_only,dll,read,back_usb,VID_ABCD,4.46,25410,1,0,1
e3d63d6c,unknown_device,pdf,scan,type_c_port,VID_ABCD,1.22,3328,0,0,0
3e7ca041,charging_only,zip,write,type_c_port,VID_EF01,6.07,29501,1,0,1
c5d9b55b,network_adapter,bat,scan,front_usb,VID_EF01,1.93,3044,0,0,0
1ab0f4fa,unknown_device,dll,write,front_usb,VID_EF01,3.7,4528,1,0,0
8df33cf1,charging_only,dll,write,back_usb,VID_1234,0.49,3978,0,0,0
32b3952e,unknown_device,pdf,read,front_usb,VID_1234,2.01,4585,0,0,0
2c6c64e7,charging_only,mp3,encrypt,hub_usb,VID_1234,1.09,14869,1,0,1
81af744f,keyboard_emulator,jpg,write,back_usb,VID_4321,0.01,44464,1,0,1
5422893c,keyboard_emulator,py,encrypt,hub_usb,VID_4321,10.92,152,0,0,0
26a6271b,unknown_device,jpg,execute,hub_usb,VID_1234,7.75,2548,0,0,0
ff9c386e,mass_storage,py,write,front_usb,VID_4321,2.41,196,0,0,0
b34ef6d2,mass_storage,pdf,read,front_usb,VID_4321,0.87,4165,1,0,0
bc9a33c5,charging_only,mp3,auto_run,hub_usb,VID_1234,4.45,40612,1,0,1
19d74e91,network_adapter,dll,auto_run,type_c_port,VID_FAKE,3.3,21710,1,0,1
41dd688f,charging_only,pdf,write,type_c_port,VID_1234,11.31,37595,1,0,1
cfe8bfc3,network_adapter,sh,write,front_usb,VID_FAKE,0.23,42513,1,0,1
81227417,network_adapter,pdf,read,type_c_port,VID_FAKE,0.99,2402,0,0,0
5799ac79,charging_only,dll,execute,front_usb,VID_FAKE,1.38,2118,0,0,0
d7700869,network_adapter,dll,encrypt,type_c_port,VID_1234,2.32,36234,1,0,1
360c1628,keyboard_emulator,pdf,auto_run,back_usb,VID_ABCD,1.05,19370,1,0,1
bbff8151,charging_only,jpg,scan,type_c_port,VID_FAKE,0.04,4985,0,0,0
168ef84b,mass_storage,mp3,execute,back_usb,VID_EF01,3.21,2803,1,0,0
1610e342,charging_only,dll,write,hub_usb,VID_ABCD,1.04,3329,0,0,0
073f03fd,keyboard_emulator,zip,read,front_usb,VID_FAKE,8.1,48925,1,0,1
f2d8293a,network_adapter,dll,read,hub_usb,VID_FAKE,1.72,2178,0,0,0
72d002c3,unknown_device,sh,scan,back_usb,VID_EF01,18.77,24600,1,0,1
961eae5b,keyboard_emulator,bat,auto_run,hub_usb,VID_4321,0.88,2914,1,0,0
6c5e1381,network_adapter,mp3,write,hub_usb,VID_ABCD,0.2,610,0,0,0
734d4932,network_adapter,docx,write,type_c_port,VID_FAKE,0.15,4903,0,0,0
ae68a86c,unknown_device,zip,write,back_usb,VID_FAKE,3.88,39046,1,0,1
ac42fc1d,network_adapter,zip,auto_run,front_usb,VID_FAKE,2.02,2925,0,0,0
2d274409,mass_storage,pdf,read,front_usb,VID_1234,4.89,2929,0,0,0
bbbd1a06,mass_storage,pdf,encrypt,front_usb,VID_1234,1.67,38664,0,1,1
be419f57,unknown_device,docx,scan,type_c_port,VID_EF01,5.41,47043,1,1,1
4bd2dd23,charging_only,bat,execute,front_usb,VID_FAKE,0.32,38990,1,1,1
1c2dc402,unknown_device,jpg,execute,type_c_port,VID_1234,0.29,2840,0,0,0
a795283f,network_adapter,mp3,execute,front_usb,VID_EF01,6.13,38618,1,0,1
fc38345f,unknown_device,docx,encrypt,hub_usb,VID_EF01,1.33,1879,0,0,0
2fb0e2f7,mass_storage,docx,scan,back_usb,VID_1234,0.01,2923,0,0,0
b4909bd6,charging_only,mp3,auto_run,back_usb,VID_EF01,0.12,125,1,0,0
9d99400f,charging_only,docx,write,hub_usb,VID_EF01,2.11,1800,0,0,0
e3435ab5,mass_storage,py,encrypt,front_usb,VID_1234,3.07,198,0,0,0
5c7ab875,network_adapter,pdf,write,type_c_port,VID_ABCD,1.17,2068,0,0,0
0c8986e9,mass_storage,exe,scan,back_usb,VID_EF01,5.91,3931,0,0,0
e4aad559,keyboard_emulator,py,encrypt,back_usb,VID_4321,1.87,3501,1,0,1
2d9fa21e,unknown_device,jpg,scan,back_usb,VID_1234,1.17,16815,0,0,1
fd030e6c,mass_storage,pdf,write,front_usb,VID_ABCD,13.05,20105,0,1,1
01b9c7b1,charging_only,pdf,execute,back_usb,VID_ABCD,4.54,243,0,0,0
7bd8c415,mass_storage,py,execute,back_usb,VID_1234,0.53,202,0,0,0
455ab44b,charging_only,exe,write,type_c_port,VID_4321,0.13,2249,0,0,0
634181f3,keyboard_emulator,zip,auto_run,type_c_port,VID_1234,0.18,38716,1,0,1
10638081,charging_only,dll,write,type_c_port,VID_FAKE,14.09,14532,1,0,1
396e5341,mass_storage,sh,write,hub_usb,VID_ABCD,8.51,37457,1,1,1
c85f9349,unknown_device,pdf,execute,front_usb,VID_4321,5.23,32271,0,0,1
148038e4,network_adapter,exe,encrypt,hub_usb,VID_FAKE,2.67,4751,0,0,0
b0b29ffb,network_adapter,zip,scan,back_usb,VID_FAKE,1.88,48650,1,1,1
0eff41f9,mass_storage,py,read,type_c_port,VID_4321,0.23,2564,0,0,0
fa52adb1,charging_only,pdf,encrypt,type_c_port,VID_1234,2.98,2200,0,0,0
1fae2c55,keyboard_emulator,docx,execute,front_usb,VID_4321,0.26,41814,1,0,1
a8f814db,keyboard_emulator,exe,execute,type_c_port,VID_FAKE,2.03,2450,0,0,0
28e944ef,network_adapter,py,auto_run,hub_usb,VID_EF01,5.13,815,1,0,1
bc8e9561,unknown_device,zip,execute,back_usb,VID_ABCD,0.18,413,0,0,0
3d7276cc,unknown_device,jpg,auto_run,hub_usb,VID_FAKE,0.7,174,0,0,0
d801f98f,mass_storage,exe,auto_run,back_usb,VID_4321,4.71,136,0,0,0
e934d42c,unknown_device,docx,scan,hub_usb,VID_1234,0.38,3304,0,0,0
32dca8d6,network_adapter,docx,write,hub_usb,VID_FAKE,2.17,13686,1,0,1
ac138794,charging_only,sh,encrypt,hub_usb,VID_ABCD,1.45,284,0,0,0
3befa86b,keyboard_emulator,py,encrypt,hub_usb,VID_EF01,0.79,2394,0,0,0
6c8d423e,keyboard_emulator,zip,scan,front_usb,VID_1234,4.43,17698,1,0,1
d9e9e1dd,charging_only,docx,execute,type_c_port,VID_1234,2.21,3608,0,0,0
d13316c1,mass_storage,bat,encrypt,front_usb,VID_EF01,1.78,542,0,0,0
94679571,mass_storage,zip,auto_run,back_usb,VID_FAKE,0.18,2140,0,0,0
43cb943c,unknown_device,bat,scan,hub_usb,VID_1234,0.98,2894,1,0,0
08201f0f,keyboard_emulator,docx,write,hub_usb,VID_FAKE,1.21,3712,0,0,0
aea64a42,charging_only,pdf,scan,front_usb,VID_4321,2.93,1908,0,0,0
efd7a68a,keyboard_emulator,bat,read,hub_usb,VID_FAKE,1.09,4836,0,0,0
da3acd28,unknown_device,jpg,execute,type_c_port,VID_FAKE,3.21,259,0,0,0
b4769a51,mass_storage,jpg,read,back_usb,VID_FAKE,7.66,44350,1,0,1
dcce3862,keyboard_emulator,docx,scan,type_c_port,VID_ABCD,0.77,1371,0,0,0
bfd10612,network_adapter,bat,encrypt,hub_usb,VID_1234,0.48,699,0,0,0
7704e1a1,keyboard_emulator,sh,scan,hub_usb,VID_ABCD,1.45,4628,0,0,0
23f6cede,charging_only,dll,scan,type_c_port,VID_4321,3.74,49481,0,0,1
868b5eb7,keyboard_emulator,sh,write,type_c_port,VID_FAKE,1.98,20963,1,1,1
ce8debc6,network_adapter,dll,auto_run,hub_usb,VID_EF01,4.99,7321,1,1,1
5cdb5801,keyboard_emulator,jpg,scan,type_c_port,VID_4321,1.04,32232,1,1,1
10a74dba,mass_storage,exe,read,type_c_port,VID_EF01,3.9,1156,0,0,0
8ef6127c,keyboard_emulator,zip,write,back_usb,VID_FAKE,3.39,3277,0,0,0
9865c1c6,keyboard_emulator,exe,scan,type_c_port,VID_EF01,2.48,4364,1,1,1
4b33646a,network_adapter,sh,scan,type_c_port,VID_FAKE,2.96,2227,0,0,0
bc916b4d,network_adapter,exe,write,back_usb,VID_EF01,0.2,2734,0,0,0
2b7d5b8b,charging_only,zip,scan,back_usb,VID_EF01,3.98,39100,1,0,1
2630143b,keyboard_emulator,pdf,execute,back_usb,VID_4321,1.83,754,0,0,0
4cd3f362,unknown_device,docx,scan,hub_usb,VID_FAKE,1.33,3616,0,0,0
81b308e3,charging_only,sh,auto_run,hub_usb,VID_4321,18.64,48574,1,0,1
d63cdff6,unknown_device,docx,execute,back_usb,VID_EF01,3.41,4358,1,0,1
a5397a60,mass_storage,dll,write,back_usb,VID_FAKE,0.29,2866,0,0,0
de8f6fd8,keyboard_emulator,zip,scan,type_c_port,VID_ABCD,0.01,302,0,0,0
13c090f6,mass_storage,docx,execute,front_usb,VID_ABCD,3.07,2791,0,0,0
e54cc758,charging_only,pdf,read,back_usb,VID_ABCD,0.68,5904,0,0,1
75385a33,charging_only,exe,execute,hub_usb,VID_4321,1.09,3891,0,0,0
d8f355f1,mass_storage,jpg,encrypt,front_usb,VID_FAKE,15.33,35530,1,0,1
40898056,mass_storage,exe,execute,type_c_port,VID_FAKE,2.84,2634,0,0,0
9063c963,unknown_device,pdf,read,back_usb,VID_ABCD,0.33,3951,0,0,0
70aed2e1,mass_storage,pdf,read,front_usb,VID_EF01,1.15,3557,0,0,0
dad31395,mass_storage,pdf,execute,back_usb,VID_FAKE,2.73,3758,0,0,0
32ba7b01,charging_only,docx,read,back_usb,VID_1234,1.31,4047,0,0,0
dfc388df,charging_only,docx,execute,front_usb,VID_1234,1.12,4349,0,0,0
609bc544,keyboard_emulator,jpg,read,front_usb,VID_4321,0.14,3124,0,0,0
08a23901,mass_storage,pdf,execute,back_usb,VID_EF01,1.4,86,0,0,0
ba0ef6ba,mass_storage,py,encrypt,hub_usb,VID_4321,6.91,36147,1,1,1
35ee7b14,unknown_device,mp3,scan,back_usb,VID_ABCD,0.67,23169,1,0,1
4cf7a538,network_adapter,exe,auto_run,front_usb,VID_ABCD,1.61,1925,0,0,0
306bf8f1,keyboard_emulator,dll,execute,type_c_port,VID_ABCD,1.9,2860,0,0,0
2cdd1956,network_adapter,exe,auto_run,type_c_port,VID_4321,3.4,319,0,0,0
e39dac4e,keyboard_emulator,pdf,scan,back_usb,VID_FAKE,5.86,4404,0,0,0
e8248aeb,unknown_device,py,auto_run,back_usb,VID_EF01,2.29,42357,0,0,1
8ca7e60a,charging_only,py,scan,back_usb,VID_FAKE,9.72,4790,0,0,0
27ec301d,keyboard_emulator,sh,auto_run,back_usb,VID_4321,0.83,21998,0,0,1
954754e3,charging_only,dll,write,back_usb,VID_EF01,1.15,4171,0,0,0
